Location
"Thrissur District, Kerala, India"
"Shimoga District, Karnataka, India"
"Goa-Karnataka border, India"
"Cherrapunji, Meghalaya, India"
"Dharmapuri District, Tamil Nadu, India"
"McLeod Ganj, Himachal Pradesh, India"
"Kottayam, Kerala, India"
"Coorg, Karnataka, India"
"Mussoorie, Uttarakhand, India"
"Tirunelveli District, Tamil Nadu, India"
"Uttarakhand, India"
"Chamoli District, Uttarakhand, India"
"Pali District, Rajasthan, India"
"Kerala, India"
"Uttarakhand, India"
"Karnataka, India"
"Kerala, India"
"Nagaland-Manipur border, India"
"Malvan, Maharashtra, India"
"Ladakh, Jammu and Kashmir, India"
"Kolkata, West Bengal, India"
"New Delhi, India"
"Hyderabad, Telangana, India"
"Mumbai, Maharashtra, India"
"Chandigarh, India"
"Kolkata, West Bengal, India"
"Mumbai, Maharashtra, India"
"New Delhi, India"
"Jaisalmer, Rajasthan, India"
"Gurugram, Haryana, India"
"Ahmedabad, Gujarat, India"
"Mumbai, Maharashtra, India"
"New Delhi, India"
"Mumbai, Maharashtra, India"
"Udaipur, Rajasthan, India"
"Lothal, Gujarat, India"
"Jaipur, Rajasthan, India"
"Darjeeling, West Bengal, India"
"Thanjavur, Tamil Nadu, India"
"Chandigarh, India"
"Jaipur, Rajasthan, India"
"Delhi, India"
"Agra, Uttar Pradesh, India"
"Jodhpur, Rajasthan, India"
"Jaisalmer, Rajasthan, India"
"Gwalior, Madhya Pradesh, India"
"Chittorgarh, Rajasthan, India"
"Jaipur, Rajasthan, India"
"Bikaner, Rajasthan, India"
"Kumbhalgarh, Rajasthan, India"
"Sindhudurg, Maharashtra, India"
"Raigad, Maharashtra, India"
"Chunar, Uttar Pradesh, India"
"Kangra, Himachal Pradesh, India"
"Aurangabad, Maharashtra, India"
"Hyderabad, Telangana, India"
"Amer, Rajasthan, India"
"Murud, Maharashtra, India"
"Orchha, Madhya Pradesh, India"
"Kasaragod, Kerala, India"
"Amritsar, Punjab, India"
"Tirumala, Andhra Pradesh, India"
"Kedarnath, Uttarakhand, India"
"Madurai, Tamil Nadu, India"
"Delhi, India"
"Delhi, India"
"Prabhas Patan, Gujarat, India"
"Thanjavur, Tamil Nadu, India"
"Mumbai, Maharashtra, India"
"Puri, Odisha, India"
"Bodh Gaya, Bihar, India"
"Bhubaneswar, Odisha, India"
"Varanasi, Uttar Pradesh, India"
"Katra, Jammu and Kashmir, India"
"Tamil Nadu, India"
"Rameswaram, Tamil Nadu, India"
"Dwarka, Gujarat, India"
"Konark, Odisha, India"
"Srirangam, Tamil Nadu, India"
"Badrinath, Uttarakhand, India"
"Uttarakhand, India"
"Himachal Pradesh, India"
"Uttarakhand, India"
"Rajasthan, India"
"Uttarakhand, India"
"Himachal Pradesh, India"
"Rajasthan, India"
"Karnataka, India"
"Kerala, India"
"Jammu and Kashmir, India"
"Kerala, India"
"Uttarakhand, India"
"Uttarakhand, India"
"Tamil Nadu, India"
"Himachal Pradesh, India"
"Himachal Pradesh, India"
"Rajasthan, India"
"Uttarakhand, India"
"Himachal Pradesh, India"
"Nagaland, India"
"Agra, Uttar Pradesh, India"
"Jaipur, Rajasthan, India"
"Jaipur, Rajasthan, India"
"Delhi, India"
"Jaipur, Rajasthan, India"
"Agra, Uttar Pradesh, India"
"Tamil Nadu, India"
"Delhi, India"
"Sanchi, Madhya Pradesh, India"
"Aurangabad, Maharashtra, India"
"Jodhpur, Rajasthan, India"
"Khajuraho, Madhya Pradesh, India"
"Gwalior, Madhya Pradesh, India"
"Karnataka, India"
"Srinagar, Jammu and Kashmir, India"
"Karnataka, India"
"Haryana, India (Harappan archaeological site)"
"Ahmedabad, Gujarat, India"
"Amritsar, Punjab, India"
"Ajmer, Rajasthan, India"
"Canacona, South Goa, Goa, India"
"Thiruvananthapuram, Kerala, India"
"Havelock Island, Andaman and Nicobar Islands, India"
"North Goa, Goa, India"
"North Goa, Goa, India"
"Varkala, Kerala, India"
"North Goa, Goa, India"
"Alappuzha, Kerala, India"
"Digha, West Bengal, India"
"North Goa, Goa, India"
"Gokarna, Karnataka, India"
"Puri, Odisha, India"
"South Goa, Goa, India"
"South Goa, Goa, India"
"Mumbai, Maharashtra, India"
"Rameswaram, Tamil Nadu, India"
"Puducherry, India"
"Malvan, Maharashtra, India"
"Kanyakumari, Tamil Nadu, India"
"Neil Island, Andaman and Nicobar Islands, India"
Border of Nepal and the Indian state of Sikkim
"Himalayas in Nepal, near Pokhara"
"Uttarakhand, India"
On the border of Nepal and Tibet (China)
Nepal
"Akole Taluka, Ahmednagar District, Maharashtra, India"
"Chamoli, Uttarakhand, India"
"Uttarkashi district, Uttarakhand, India"
"Ladakh, Jammu and Kashmir, India"
"Uttarkashi district, Uttarakhand, India"
"Chamoli district, Uttarakhand, India"
"Kullu district, Himachal Pradesh, India"
"Darjeeling district, West Bengal, India"
"Ladakh, Jammu and Kashmir, India"
"Dharamshala, Himachal Pradesh, India"
